Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:2times  Frec:2  LogProb:-11.162395885255101
Palabra:2to  Frec:2  LogProb:-11.162395885255101
Palabra:2wks  Frec:1  LogProb:-11.855543065815047
Palabra:2x  Frec:1  LogProb:-11.855543065815047
Palabra:2yrs  Frec:1  LogProb:-11.855543065815047
Palabra:3-4  Frec:3  LogProb:-10.756930777146938
Palabra:3-6  Frec:2  LogProb:-11.162395885255101
Palabra:3-year-old  Frec:1  LogProb:-11.855543065815047
Palabra:30%  Frec:1  LogProb:-11.855543065815047
Palabra:30's  Frec:2  LogProb:-11.162395885255101
Palabra:300$  Frec:2  LogProb:-11.162395885255101
Palabra:300+  Frec:2  LogProb:-11.162395885255101
Palabra:30am  Frec:1  LogProb:-11.855543065815047
Palabra:30in  Frec:2  LogProb:-11.162395885255101
